Time,LSTM_Pred,Time in state
2/18/2026 15:45,IDLE,00:01.0
2/18/2026 15:45,CYCLESTART,00:03.0
2/18/2026 15:45,IDLE,00:14.0
2/18/2026 15:46,CYCLESTART,00:03.0
2/18/2026 15:46,IDLE,00:23.0
2/18/2026 15:46,CYCLESTART,00:01.0
2/18/2026 15:46,IDLE,00:02.0
2/18/2026 15:46,CYCLESTART,00:24.5
2/18/2026 15:47,IDLE,00:05.0
2/18/2026 15:47,CYCLESTART,00:03.0
2/18/2026 15:47,IDLE,00:03.0
2/18/2026 15:47,CYCLESTART,00:03.0
2/18/2026 15:47,IDLE,00:01.0
2/18/2026 15:47,CYCLESTART,00:04.0
2/18/2026 15:47,IDLE,00:10.0
2/18/2026 15:47,CYCLESTART,00:01.0
2/18/2026 15:47,IDLE,00:16.0
2/18/2026 15:47,CYCLESTART,00:06.0
2/18/2026 15:47,IDLE,00:03.0
2/18/2026 15:47,CYCLESTART,00:07.0
2/18/2026 15:48,IDLE,00:01.1
2/18/2026 15:48,CYCLESTART,00:24.0
2/18/2026 15:48,IDLE,00:01.0
2/18/2026 15:48,CYCLESTART,00:05.0
2/18/2026 15:48,IDLE,00:01.0
2/18/2026 15:48,CYCLESTART,00:30.0
2/18/2026 15:49,IDLE,00:01.0
2/18/2026 15:49,CYCLESTART,01:01.5
2/18/2026 15:50,IDLE,00:01.0
2/18/2026 15:50,CYCLESTART,00:14.0
2/18/2026 15:50,IDLE,00:01.0
2/18/2026 15:50,CYCLESTART,00:26.0
2/18/2026 15:50,IDLE,00:01.0
2/18/2026 15:50,CYCLESTART,00:01.0
2/18/2026 15:50,IDLE,00:07.0
2/18/2026 15:51,CYCLESTART,01:09.5
2/18/2026 15:52,IDLE,00:02.0
2/18/2026 15:52,CYCLESTART,00:03.0
2/18/2026 15:52,IDLE,00:01.0
2/18/2026 15:52,CYCLESTART,01:19.2
2/18/2026 15:53,IDLE,00:01.0
2/18/2026 15:53,CYCLESTART,00:23.0
2/18/2026 15:53,IDLE,00:02.0
2/18/2026 15:54,CYCLESTART,00:02.0
2/18/2026 15:54,IDLE,00:02.0
2/18/2026 15:54,CYCLESTART,00:40.1
2/18/2026 15:54,IDLE,00:01.0
2/18/2026 15:54,CYCLESTART,00:01.0
2/18/2026 15:54,IDLE,00:05.0
2/18/2026 15:54,CYCLESTART,00:01.0
2/18/2026 15:54,IDLE,00:01.0
2/18/2026 15:54,CYCLESTART,00:02.0
2/18/2026 15:54,IDLE,00:01.0
2/18/2026 15:54,CYCLESTART,00:06.0
2/18/2026 15:55,IDLE,00:04.0
2/18/2026 15:55,CYCLESTART,00:01.0
2/18/2026 15:55,IDLE,01:22.5
2/18/2026 15:56,CYCLESTART,00:02.0
2/18/2026 15:56,IDLE,00:35.0
2/18/2026 15:57,CYCLESTART,00:01.0
2/18/2026 15:57,IDLE,00:04.0
2/18/2026 15:57,CYCLESTART,00:21.5
2/18/2026 15:57,IDLE,00:06.0
2/18/2026 15:57,CYCLESTART,00:28.0
2/18/2026 15:58,IDLE,00:03.0
2/18/2026 15:58,CYCLESTART,04:31.6
2/18/2026 16:02,IDLE,01:44.5
2/18/2026 16:04,CYCLESTART,00:03.0
2/18/2026 16:04,IDLE,00:01.0
2/18/2026 16:04,CYCLESTART,03:38.0
2/18/2026 16:08,INCYCLE,00:02.0
2/18/2026 16:08,CYCLESTART,00:01.0
2/18/2026 16:08,INCYCLE,00:08.0
2/18/2026 16:08,CYCLESTART,00:02.0
2/18/2026 16:08,INCYCLE,00:01.0
2/18/2026 16:08,CYCLESTART,00:11.0
2/18/2026 16:08,INCYCLE,00:14.0
2/18/2026 16:08,CYCLESTART,00:07.0
2/18/2026 16:08,INCYCLE,00:02.0
2/18/2026 16:08,CYCLESTART,00:01.0
2/18/2026 16:08,INCYCLE,00:03.0
2/18/2026 16:09,CYCLESTART,00:02.0
2/18/2026 16:09,INCYCLE,00:53.0
2/18/2026 16:09,CYCLESTART,00:05.0
2/18/2026 16:10,INCYCLE,00:42.5
2/18/2026 16:10,CYCLESTART,00:41.0
2/18/2026 16:11,INCYCLE,00:01.0
2/18/2026 16:11,CYCLESTART,00:03.0
2/18/2026 16:11,INCYCLE,03:26.6
2/18/2026 16:14,CYCLESTART,00:19.0
2/18/2026 16:15,INCYCLE,00:02.0
2/18/2026 16:15,CYCLESTART,00:03.0
2/18/2026 16:15,INCYCLE,00:02.0
2/18/2026 16:15,CYCLESTART,00:01.0
2/18/2026 16:15,INCYCLE,00:07.0
2/18/2026 16:15,CYCLESTART,00:01.0
2/18/2026 16:15,INCYCLE,02:29.6
2/18/2026 16:18,CYCLESTART,00:03.0
2/18/2026 16:18,INCYCLE,00:02.0
2/18/2026 16:18,CYCLESTART,00:01.0
2/18/2026 16:18,INCYCLE,00:01.0
2/18/2026 16:18,CYCLESTART,00:23.5
2/18/2026 16:18,INCYCLE,00:06.0
2/18/2026 16:18,CYCLESTART,01:30.0
2/18/2026 16:20,INCYCLE,01:42.5
2/18/2026 16:21,CYCLESTART,06:32.1
2/18/2026 16:28,INCYCLE,01:58.6
2/18/2026 16:30,CYCLESTART,00:17.0
2/18/2026 16:30,IDLE,01:55.5
2/18/2026 16:32,CYCLESTART,00:05.0
2/18/2026 16:32,IDLE,00:01.0
2/18/2026 16:32,CYCLESTART,03:51.5
2/18/2026 16:36,INCYCLE,23:38.7
2/18/2026 17:00,IDLE,12:35.1
2/18/2026 17:12,CYCLESTART,01:14.0
2/18/2026 17:13,IDLE,03:34.5
2/18/2026 17:17,CYCLESTART,02:15.5
2/18/2026 17:19,INCYCLE,09:21.8
2/18/2026 17:29,IDLE,07:00.6
2/18/2026 17:36,CYCLESTART,00:18.0
2/18/2026 17:36,IDLE,01:39.5
2/18/2026 17:38,CYCLESTART,03:17.5
2/18/2026 17:41,INCYCLE,07:54.7
2/18/2026 17:49,IDLE,00:42.0
2/18/2026 17:50,CYCLESTART,00:03.0
2/18/2026 17:50,IDLE,00:01.0
2/18/2026 17:50,CYCLESTART,00:05.0
2/18/2026 17:50,IDLE,00:01.0
2/18/2026 17:50,CYCLESTART,01:22.5
2/18/2026 17:51,IDLE,00:03.0
2/18/2026 17:51,CYCLESTART,00:03.0
2/18/2026 17:51,IDLE,00:03.0
2/18/2026 17:51,CYCLESTART,00:07.0
2/18/2026 17:51,IDLE,00:02.0
2/18/2026 17:51,CYCLESTART,12:36.7
2/18/2026 18:04,INCYCLE,05:06.7
2/18/2026 18:09,CYCLESTART,00:02.0
2/18/2026 18:09,INCYCLE,01:04.5
2/18/2026 18:10,IDLE,00:17.0
2/18/2026 18:10,INCYCLE,00:08.0
2/18/2026 18:11,IDLE,02:55.5
2/18/2026 18:14,CYCLESTART,01:24.1
2/18/2026 18:15,INCYCLE,00:11.0
2/18/2026 18:15,CYCLESTART,00:02.0
2/18/2026 18:15,INCYCLE,00:03.0
2/18/2026 18:15,CYCLESTART,00:05.0
2/18/2026 18:15,INCYCLE,00:03.0
2/18/2026 18:15,CYCLESTART,00:02.0
2/18/2026 18:15,INCYCLE,00:01.0
2/18/2026 18:15,CYCLESTART,00:03.0
2/18/2026 18:15,INCYCLE,00:01.0
2/18/2026 18:15,CYCLESTART,00:17.5
2/18/2026 18:16,INCYCLE,00:03.0
2/18/2026 18:16,CYCLESTART,00:01.0
2/18/2026 18:16,INCYCLE,00:03.0
2/18/2026 18:16,CYCLESTART,00:01.0
2/18/2026 18:16,INCYCLE,00:02.0
2/18/2026 18:16,CYCLESTART,03:31.5
2/18/2026 18:19,INCYCLE,00:01.0
2/18/2026 18:19,CYCLESTART,00:02.0
2/18/2026 18:20,INCYCLE,00:01.0
2/18/2026 18:20,CYCLESTART,00:05.0
2/18/2026 18:20,INCYCLE,00:01.0
2/18/2026 18:20,CYCLESTART,00:01.0
2/18/2026 18:20,INCYCLE,00:21.0
2/18/2026 18:20,CYCLESTART,00:02.0
2/18/2026 18:20,INCYCLE,00:04.0
